Date,Location,Crop,Quantity (kg),Price ($),Market Name,Demand,Supply,Weather (Temperature),Weather (Precipitation),humidity
1/1/2023,Mogadishu,Maize,1000,0.75,Central,High,Medium,30°C,0.5 mm,82.002744
1/2/2023,Hargeisa,Sorghum,800,0.6,Western,Medium,Medium,32°C,0.2 mm,80.319644
1/3/2023,Kismayo,Rice,1200,0.9,Southern,High,High,28°C,1.0 mm,82.320763
1/4/2023,Baidoa,Wheat,600,0.7,Central,Medium,Low,29°C,0.3 mm,80.158363
1/5/2023,Garowe,Barley,500,0.55,Eastern,Low,Low,31°C,0.1 mm,81.604873
1/6/2023,Berbera,Millet,700,0.65,Western,High,Medium,30°C,0.4 mm,66.413269
1/7/2023,Bosaso,Corn,900,0.8,Eastern,Medium,High,32°C,0.2 mm,56.636362
1/8/2023,Beledweyne,Teff,400,0.5,Central,Low,Low,27°C,0.3 mm,67.225123
1/9/2023,Jowhar,Sesame,800,1.1,Central,High,Medium,29°C,0.6 mm,52.127394
1/10/202,Marka,Sunflower,300,0.45,Southern,Low,Low,28°C,0.1 mm,60.396475
